"Pais","Regiao","Ano","Populacao","ExpectativaVida","PIB","PIB_Capita","Fertilidade","Pobreza"
"Cyprus","Europe & Central Asia",2011,1116644,79.571512195122,27089174646.3239,32983.1851844809,1.473,NA
"Cyprus","Europe & Central Asia",2010,1103685,79.3819512195122,25247424010.9811,33957.90164873,1.481,NA
"Cyprus","Europe & Central Asia",2012,1129303,79.7622682926829,24940600822.1062,31920.4454737569,1.464,NA
"Cyprus","Europe & Central Asia",2009,1090486,79.199487804878,25593262400.8645,34087.7590143959,1.489,NA
"Czech Republic","Europe & Central Asia",2009,10443936,77.0780487804878,205729790694.015,27008.8068634707,1.51,0
"Czech Republic","Europe & Central Asia",2010,10474410,77.4243902439025,207015860050.371,27069.6339673463,1.51,0
"Czech Republic","Europe & Central Asia",2012,10510785,78.0756097560976,206441578342.485,28727.9072629398,1.45,0
"Czech Republic","Europe & Central Asia",2011,10496088,77.8731707317073,227313162936.047,28604.2126636231,1.43,0
"Germany","Europe & Central Asia",2009,81902307,79.8365853658537,3418005001389.27,37112.8806127286,1.36,NA
"Germany","Europe & Central Asia",2012,80425823,80.8926829268293,3539615377794.51,43600.1134007712,1.38,NA
"Germany","Europe & Central Asia",2010,81776930,79.9878048780488,3417298013245.03,39639.4799659111,1.39,NA
"Germany","Europe & Central Asia",2011,81797673,80.7414634146342,3757464553794.83,42142.5488974642,1.36,NA
"Djibouti","Middle East & North Africa",2010,830802,60.3606829268293,1128611700.3618,2644.62822884592,3.484,NA
"Djibouti","Middle East & North Africa",2009,820097,59.8428048780488,1049110684.72493,2557.63970740253,3.567,NA
"Djibouti","Middle East & North Africa",2011,841802,60.8505609756098,1239144501.77525,2782.97129179065,3.406,NA
"Djibouti","Middle East & North Africa",2012,853069,61.2959756097561,1353632941.5207,2932.23334234064,3.332,36.98
"Denmark","Europe & Central Asia",2012,5591572,80.0512195121951,325012162409.979,44246.3306156663,1.73,NA
"Denmark","Europe & Central Asia",2011,5570572,79.8,341498686832.939,43314.0563639927,1.75,NA
"Denmark","Europe & Central Asia",2010,5547683,79.1,319810991980.939,41835.7966506369,1.87,NA
"Denmark","Europe & Central Asia",2009,5523095,78.5975609756098,319762353336.194,39612.1276267663,1.84,NA
"Dominica","Latin America & Caribbean",2010,71167,NA,493703703.703704,10016.2463687438,NA,NA
"Dominica","Latin America & Caribbean",2011,71402,NA,501481481.481481,10189.3982094128,NA,NA
"Dominica","Latin America & Caribbean",2009,70995,NA,489259259.259259,9852.90131876706,NA,NA
"Dominica","Latin America & Caribbean",2012,71685,NA,485185185.185185,10206.274383357,NA,NA
"Dominican Republic","Latin America & Caribbean",2011,10027140,72.9452926829268,58361928552.0266,11375.6203912161,2.568,10
"Dominican Republic","Latin America & Caribbean",2012,10155036,73.1353170731707,60595109805.051,11740.0536291201,2.539,10.22
"Dominican Republic","Latin America & Caribbean",2010,9897983,72.7498048780488,53864484468.2287,10981.1765999168,2.597,11.5
"Dominican Republic","Latin America & Caribbean",2009,9767737,72.5483170731707,48193458082.8389,10150.6162610657,2.627,11.55
"Algeria","Middle East & North Africa",2009,35401790,73.5210243902439,137211039899.57,12267.0033980711,2.818,NA
"Algeria","Middle East & North Africa",2012,37439427,74.3240975609756,209047389599.67,13452.5526105134,2.909,NA
"Algeria","Middle East & North Africa",2010,36036159,73.8040487804878,161207268840.911,12637.381339375,2.873,NA
"Algeria","Middle East & North Africa",2011,36717132,74.07,200013050828.17,13026.191661295,2.903,NA
"Ecuador","Latin America & Caribbean",2010,14934692,75.0298048780488,69555367000,9163.15790938064,2.656,16.91
"Ecuador","Latin America & Caribbean",2012,15419493,75.433,87924544000,10512.4366955457,2.599,13.97
"Ecuador","Latin America & Caribbean",2011,15177280,75.2264390243903,79276664000,9926.95249585147,2.628,14.54
"Ecuador","Latin America & Caribbean",2009,14691310,74.8446097560976,62519686000,8889.19234856436,2.684,20.1
"Estonia","Europe & Central Asia",2009,1334515,74.8243902439024,19652486801.8894,20206.1807067891,1.7,0
"Estonia","Europe & Central Asia",2010,1331475,75.4292682926829,19494662251.6556,21113.1196108327,1.72,0
"Estonia","Europe & Central Asia",2012,1322696,76.3268292682927,23135266649.1325,25921.0285969625,1.56,0
"Estonia","Europe & Central Asia",2011,1327439,76.2292682926829,23168793438.9769,23954.8659685125,1.61,0
"Egypt, Arab Rep.","Middle East & North Africa",2012,85660902,70.7291463414634,276353323880.224,10252.5229815309,3.306,NA
"Egypt, Arab Rep.","Middle East & North Africa",2010,82040994,70.3402926829268,218888324504.753,9897.74855125737,3.184,NA
"Egypt, Arab Rep.","Middle East & North Africa",2011,83787634,70.5333170731707,236001858960.015,10071.2052571796,3.253,NA
"Egypt, Arab Rep.","Middle East & North Africa",2009,80442443,70.1501463414634,188982374700.805,9485.18035499043,3.114,NA
"Eritrea","Sub-Saharan Africa",2011,4789568,62.0693658536585,2607739837.39837,1411.15763791112,4.525,NA
